order_id,order_date,restaurant_name,location,base_pay,tips,peak_pay,adjustments,total_earnings,delivery_distance,delivery_time,customer_rating,completed_deliveries,acceptance_rate,on_time_rate
DD-431191,2024-10-19 21:56:30,Burger King,"Seattle, WA",2.51,1.74,1.83,1.0,7.08,1.86,19,4.8,163,52.9,90.0
DD-834775,2024-08-24 20:47:13,Taco Bell,"Chicago, IL",3.74,9.25,2.4,1.33,16.72,10.71,15,4.3,350,58.7,87.1
DD-519174,2023-01-27 02:19:41,Taco Bell,"Seattle, WA",2.54,5.91,0.15,-0.19,8.41,12.24,17,3.6,286,60.0,81.0
DD-681139,2024-09-25 00:43:25,Pizza Hut,"Chicago, IL",3.42,7.57,0.7,0.61,12.3,4.13,41,3.6,156,82.2,80.1
DD-333510,2024-12-07 10:59:11,Pizza Hut,"New York, NY",4.97,6.49,0.96,1.12,13.54,4.48,11,4.6,300,52.8,81.4
DD-174957,2024-07-13 13:50:58,Chipotle,"Austin, TX",4.15,5.47,0.21,0.61,10.44,1.44,17,3.5,414,60.0,80.2
DD-934714,2024-03-24 05:46:47,Chipotle,"New York, NY",3.96,8.76,0.66,-0.15,13.23,12.91,45,4.4,58,57.0,82.6
DD-715100,2024-07-19 09:08:50,Pizza Hut,"Austin, TX",4.9,2.87,0.44,0.68,8.89,12.35,20,4.7,286,66.8,80.3
DD-631642,2024-05-15 18:13:33,Burger King,"Chicago, IL",4.15,8.64,0.0,0.28,13.07,7.14,51,4.9,345,90.0,81.5
DD-391709,2024-02-26 11:35:00,Burger King,"Austin, TX",2.58,1.66,1.84,-0.46,5.62,14.32,57,3.6,249,60.6,97.4
DD-121471,2024-07-04 17:33:00,Burger King,"Austin, TX",4.48,2.16,2.17,0.19,9.0,2.62,15,4.3,104,63.9,82.0
DD-241948,2023-10-10 05:11:25,Pizza Hut,"New York, NY",2.7,4.47,1.48,1.24,9.89,7.7,55,3.4,348,82.2,85.9
DD-462157,2024-01-08 06:46:14,Burger King,"New York, NY",3.22,1.48,0.61,1.98,7.29,4.75,50,3.4,142,53.8,81.6
DD-655549,2023-08-01 05:49:38,Burger King,"San Francisco, CA",4.92,9.83,2.85,0.36,17.96,1.51,45,4.0,133,58.1,86.2
DD-711719,2024-07-12 09:30:09,Subway,"Austin, TX",2.7,3.34,2.61,0.91,9.56,12.43,48,3.6,82,88.3,89.4
DD-793062,2023-09-06 02:36:37,Taco Bell,"Austin, TX",4.36,4.0,0.83,1.06,10.25,13.23,53,4.9,9,79.2,88.3
DD-488905,2023-03-13 12:53:44,Taco Bell,"San Francisco, CA",3.96,2.01,0.33,0.35,6.65,6.71,53,3.4,50,67.6,91.0
DD-996627,2023-08-29 19:30:38,Pizza Hut,"Chicago, IL",4.6,8.13,2.44,-0.74,14.43,2.77,37,4.8,289,80.9,87.7
DD-836566,2023-06-30 01:13:31,Burger King,"New York, NY",2.78,4.92,2.53,1.6,11.83,5.45,53,3.7,192,84.2,90.0
DD-323297,2024-03-02 18:22:42,Burger King,"Chicago, IL",4.62,3.21,1.05,1.69,10.57,4.96,20,4.9,451,52.3,82.4
DD-641751,2024-09-29 15:50:18,Taco Bell,"San Francisco, CA",2.68,2.77,0.49,-0.73,5.21,12.29,42,3.7,258,81.3,82.6
DD-986292,2023-09-03 18:23:31,Subway,"San Francisco, CA",3.02,6.07,1.62,0.56,11.27,8.08,45,3.8,87,74.0,84.0
DD-695655,2023-11-16 18:03:21,Burger King,"Seattle, WA",3.2,4.96,0.76,-0.45,8.47,3.96,60,4.5,57,70.3,99.6
